ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m
1,The purest form of iron is,wrought iron,steel,pig iron,nickel steel,1,4,-1,n,
2,Hydrogen bomb is based on the principle of,nuclear fission,nuclear fusion,radioactivity,artificial radioactivity,2,4,-1,n,
3,Among the following the maximum covalent character is shown by,MgCl2,FeCl2,SnCl2,AlCl3,4,4,-1,n,
4,Which of the following is a non metal that remains liquid at room temperature,Cl,P,Br,He,3,4,-1,n,
5,Which one of the following is not a mixture,Air,Mercury,milk,cement,2,4,-1,n,
6,Name the Scientist who stated that matter can be converted into energy,Boyle,Lavoiser,Avogadro,Einstein,4,4,-1,n,
7,When formaldehyde and potassium hydroxide are heated we get,Acetylene,Methyl alcohol,methane,Ethyl formate,2,4,-1,n,
8,The enzyme that converts glucose to ethyl alcohol is,Maltase,Zymase,Diastase,Invertase,2,4,-1,n,
9,Is C2 Paramagnetic or Diamagnetic?,Paramagnetic,Diamagnetic,Ferromagnetic,None,2,4,-1,n,
10,Which one of the following substances does not have a melting point,Br,NaCl,Hg,Glass,4,4,-1,n,

